2018/03/19 08:56:10 [error] 10253#0: *1 open() "/usr/local/nginx/html/favicon.ico" failed (2: No such file or directory), client: 223.72.55.150, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "172.96.160.28", referrer: "http://172.96.160.28/"
2018/03/19 09:06:25 [error] 10341#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 61.130.28.141, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:06:28 [error] 10341#0: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 222.88.91.50, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:06:48 [error] 10341#0: *5 connect() failed (111: Connection refused) while connecting to upstream, client: 202.109.166.200, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:07:05 [error] 10341#0: *7 connect() failed (111: Connection refused) while connecting to upstream, client: 122.228.199.114, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:07:15 [error] 10341#0: *9 connect() failed (111: Connection refused) while connecting to upstream, client: 113.31.27.249, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:07:20 [error] 10341#0: *11 connect() failed (111: Connection refused) while connecting to upstream, client: 222.186.129.155, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:07:26 [error] 10341#0: *13 connect() failed (111: Connection refused) while connecting to upstream, client: 61.130.28.141, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:07:29 [error] 10341#0: *15 connect() failed (111: Connection refused) while connecting to upstream, client: 222.88.91.50, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "c5000.diycdn2.7i26.com"
2018/03/19 09:07:30 [error] 10341#0: *17 connect() failed (111: Connection refused) while connecting to upstream, client: 223.72.55.150, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "172.96.160.28"
2018/03/19 09:07:31 [error] 10341#0: *20 connect() failed (111: Connection refused) while connecting to upstream, client: 223.72.55.150, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "demo.eago.world"
2018/03/19 09:07:31 [error] 10341#0: *20 connect() failed (111: Connection refused) while connecting to upstream, client: 223.72.55.150, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:3000/favicon.ico", host: "demo.eago.world", referrer: "http://demo.eago.world/"
2018/03/19 09:07:33 [error] 10341#0: *20 connect() failed (111: Connection refused) while connecting to upstream, client: 223.72.55.150, server: localhost, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "demo.eago.world"
